Name: CCTV-1, URL: http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://220.249.114.102:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 475 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-3, URL: http://59.173.243.210:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 4270 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-3, URL: http://116.128.242.83:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://139.196.151.191:2051/rtp/239.45.1.68:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-3, URL: http://139.129.231.228:3529/rtp/239.21.2.45:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-3, URL: http://139.129.231.228:3529/rtp/239.21.1.3:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-3, URL: http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 2727 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-3, URL: http://120.55.49.231:3095/rtp/233.50.201.196:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-3, URL: http://120.55.49.231:3095/rtp/233.50.201.16:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-3, URL: http://8.138.47.46:35455/gaoma/cctv3.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://www.douzhicloud.site:35455/gaoma/cctv3.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-3, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv3.m3u8$订阅源, Date: None, Delay: 305 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-4, URL: http://59.173.243.210:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 4270 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-4, URL: http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-4, URL: http://220.249.114.102:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 475 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-4, URL: http://139.196.151.191:2051/rtp/239.45.0.2:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-4, URL: http://139.129.231.228:3529/rtp/239.21.1.154:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-4, URL: http://139.129.231.228:3529/rtp/239.21.1.4:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-4, URL: http://139.129.231.228:3529/rtp/239.21.2.28:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-4, URL: http://120.55.49.231:3095/rtp/233.50.200.101:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-4, URL: http://120.55.49.231:3095/rtp/233.50.201.4:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-4, URL: http://www.douzhicloud.site:35455/gaoma/cctv4.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-4, URL: http://8.138.47.46:35455/gaoma/cctv4k.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-4, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv4k.m3u8$订阅源, Date: None, Delay: 305 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-4, URL: http://8.138.47.46:35455/gaoma/cctv4.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-4, URL: http://www.douzhicloud.site:35455/gaoma/cctv4k.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-5, URL: http://220.249.114.102:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 475 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5, URL: http://59.173.243.210:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 4270 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5, URL: http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-5, URL: http://139.196.151.191:2051/rtp/239.45.1.69:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5, URL: http://139.129.231.228:3529/rtp/239.21.2.46:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-5, URL: http://139.129.231.228:3529/rtp/239.21.1.5:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-5, URL: http://111.9.163.109:9901/tsfile/live/0005_1.m3u8$订阅源, Date: None, Delay: 2263 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-5, URL: http://219.159.91.10:9901/tsfile/live/0005_1.m3u8$订阅源, Date: None, Delay: 243 ms, Speed: 1.53 M/s, Resolution: 1920x1080
Name: CCTV-5, URL: http://61.136.172.236:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 2727 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5, URL: http://120.55.49.231:3095/rtp/233.50.201.197:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-5, URL: http://120.55.49.231:3095/rtp/233.50.201.17:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-5, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv5.m3u8$订阅源, Date: None, Delay: 305 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-5, URL: http://www.douzhicloud.site:35455/gaoma/cctv5.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-5, URL: http://8.138.47.46:35455/gaoma/cctv5.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-5+, URL: http://59.173.243.210:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 4270 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5+, URL: http://220.249.114.102:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 475 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5+, URL: http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-5+, URL: http://139.129.231.228:3529/rtp/239.21.1.142:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-5+, URL: http://61.136.172.236:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 2727 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5+, URL: http://120.55.49.231:3095/rtp/233.50.201.220:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-5+, URL: http://8.138.47.46:35455/gaoma/cctv5p.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-5+, URL: http://www.douzhicloud.site:35455/gaoma/cctv5p.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-5+, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv5p.m3u8$订阅源, Date: None, Delay: 305 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-6, URL: http://220.249.114.102:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 475 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-6, URL: http://59.173.243.210:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 4270 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-6, URL: http://116.128.242.83:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-6, URL: http://139.196.151.191:2051/rtp/239.45.1.70:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-6, URL: http://139.129.231.228:3529/rtp/239.21.2.47:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-6, URL: http://139.129.231.228:3529/rtp/239.21.1.6:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-6, URL: http://111.9.163.109:9901/tsfile/live/0006_1.m3u8$订阅源, Date: None, Delay: 2263 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-6, URL: http://61.136.172.236:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 2727 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-6, URL: http://120.55.49.231:3095/rtp/233.50.201.198:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-6, URL: http://120.55.49.231:3095/rtp/233.50.201.18:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-6, URL: http://8.138.47.46:35455/gaoma/cctv6.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-6, URL: http://www.douzhicloud.site:35455/gaoma/cctv6.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-7, URL: http://220.249.114.102:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 475 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-7, URL: http://116.128.242.83:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-7, URL: http://59.173.243.210:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 4270 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-7, URL: http://139.196.151.191:2051/rtp/239.45.3.56:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-7, URL: http://139.129.231.228:3529/rtp/239.21.1.152:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-7, URL: http://139.129.231.228:3529/rtp/239.21.1.7:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-7, URL: http://219.145.93.74:9999/tsfile/live/0007_1.m3u8$订阅源, Date: None, Delay: 250 ms, Speed: 0.12 M/s, Resolution: 720x576
Name: CCTV-7, URL: http://120.55.49.231:3095/rtp/233.50.201.120:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-7, URL: http://120.55.49.231:3095/rtp/233.50.201.7:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-7, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv7.m3u8$订阅源, Date: None, Delay: 305 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-7, URL: http://8.138.47.46:35455/gaoma/cctv7.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-7, URL: http://www.douzhicloud.site:35455/gaoma/cctv7.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-8, URL: http://220.249.114.102:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 475 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-8, URL: http://59.173.243.210:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 4270 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-8, URL: http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-8, URL: http://139.196.151.191:2051/rtp/239.45.1.71:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-8, URL: http://139.129.231.228:3529/rtp/239.21.2.48:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-8, URL: http://139.129.231.228:3529/rtp/239.21.1.8:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-8, URL: http://111.9.163.109:9901/tsfile/live/0008_1.m3u8$订阅源, Date: None, Delay: 2263 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-8, URL: http://219.145.93.74:9999/tsfile/live/0008_1.m3u8$订阅源, Date: None, Delay: 250 ms, Speed: 0.12 M/s, Resolution: 720x576
Name: CCTV-8, URL: http://61.136.172.236:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 2727 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-8, URL: http://120.55.49.231:3095/rtp/233.50.201.199:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-8, URL: http://120.55.49.231:3095/rtp/233.50.201.19:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-8, URL: http://www.douzhicloud.site:35455/gaoma/cctv8.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-8, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv8.m3u8$订阅源, Date: None, Delay: 305 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-8, URL: http://www.douzhicloud.site:35455/gaoma/cctv8k_36m.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-8, URL: http://8.138.47.46:35455/gaoma/cctv8k_36m.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-9, URL: http://220.249.114.102:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 475 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-9, URL: http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-9, URL: http://59.173.243.210:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 4270 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-9, URL: http://139.196.151.191:2051/rtp/239.45.3.4:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-9, URL: http://139.129.231.228:3529/rtp/239.21.1.153:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-9, URL: http://139.129.231.228:3529/rtp/239.21.1.9:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-9, URL: http://219.145.93.74:9999/tsfile/live/0009_1.m3u8$订阅源, Date: None, Delay: 250 ms, Speed: 0.12 M/s, Resolution: 720x576
Name: CCTV-9, URL: http://61.136.172.236:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 2727 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-9, URL: http://120.55.49.231:3095/rtp/233.50.201.121:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-9, URL: http://8.138.47.46:35455/gaoma/cctv9.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-9, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv9.m3u8$订阅源, Date: None, Delay: 305 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-9, URL: http://www.douzhicloud.site:35455/gaoma/cctv9.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-10, URL: http://59.173.243.210:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 4270 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-10, URL: http://220.249.114.102:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 475 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-10, URL: http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-10, URL: http://139.196.151.191:2051/rtp/239.45.3.8:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-10, URL: http://139.129.231.228:3529/rtp/239.21.1.155:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-10, URL: http://139.129.231.228:3529/rtp/239.21.1.11:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-10, URL: http://61.136.172.236:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 2727 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-10, URL: http://120.55.49.231:3095/rtp/233.50.201.122:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-10, URL: http://120.55.49.231:3095/rtp/233.50.201.10:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-10, URL: http://8.138.47.46:35455/gaoma/cctv10.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-10, URL: http://www.douzhicloud.site:35455/gaoma/cctv10.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-10, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv10.m3u8$订阅源, Date: None, Delay: 305 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-11, URL: http://116.128.242.83:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 3313 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-11, URL: http://220.249.114.102:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 475 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-11, URL: http://59.173.243.210:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 4270 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-11, URL: http://139.196.151.191:2051/rtp/239.45.1.196:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-11, URL: http://139.129.231.228:3529/rtp/239.21.2.2:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-11, URL: http://139.129.231.228:3529/rtp/239.21.1.12:5002$山东电信组播源, Date: 2024-02-06, Delay: 2260 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-11, URL: http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 2727 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-11, URL: http://120.55.49.231:3095/rtp/233.50.201.11:5140$浙江电信组播源, Date: 2024-03-02, Delay: 226 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-11, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv11.m3u8$订阅源, Date: None, Delay: 305 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-11, URL: http://www.douzhicloud.site:35455/gaoma/cctv11.m3u8$订阅源, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
